year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2014-2019,21260,"Ellensburg, WA",Total,Total,Percent Change in Median Earnings,0.137177,0,,,
2018-2019,21260,"Ellensburg, WA",Total,Total,Percent Change in Median Earnings,-0.002718,0,,,
2009-2019,21300,"Elmira, NY",Total,Total,Percent Change in Median Earnings,0.106608,0,,,
2014-2019,21300,"Elmira, NY",Total,Total,Percent Change in Median Earnings,0.062375,0,,,
2018-2019,21300,"Elmira, NY",Total,Total,Percent Change in Median Earnings,0.071812,0,,,
2009-2019,21380,"Emporia, KS",Total,Total,Percent Change in Median Earnings,-0.034192,0,,,
2014-2019,21380,"Emporia, KS",Total,Total,Percent Change in Median Earnings,0.158287,0,,,
2018-2019,21380,"Emporia, KS",Total,Total,Percent Change in Median Earnings,0.173273,0,,,
2009-2019,21420,"Enid, OK",Total,Total,Percent Change in Median Earnings,0.287446,0,,,
2014-2019,21420,"Enid, OK",Total,Total,Percent Change in Median Earnings,0.190024,0,,,
2018-2019,21420,"Enid, OK",Total,Total,Percent Change in Median Earnings,0.383994,0,,,
2009-2019,21460,"Enterprise, AL",Total,Total,Percent Change in Median Earnings,0.075191,0,,,
2014-2019,21460,"Enterprise, AL",Total,Total,Percent Change in Median Earnings,0.123175,0,,,
2018-2019,21460,"Enterprise, AL",Total,Total,Percent Change in Median Earnings,-0.077814,0,,,
2009-2019,21500,"Erie, PA",Total,Total,Percent Change in Median Earnings,0.04325,1,Midsized,150,64
2014-2019,21500,"Erie, PA",Total,Total,Percent Change in Median Earnings,0.037849,1,Midsized,172,69
2018-2019,21500,"Erie, PA",Total,Total,Percent Change in Median Earnings,0.093241,1,Midsized,22,15
2009-2019,21540,"Escanaba, MI",Total,Total,Percent Change in Median Earnings,-0.053031,0,,,
2014-2019,21540,"Escanaba, MI",Total,Total,Percent Change in Median Earnings,0.10179,0,,,
2018-2019,21540,"Escanaba, MI",Total,Total,Percent Change in Median Earnings,-0.139854,0,,,
2009-2019,21580,"Española, NM",Total,Total,Percent Change in Median Earnings,0.234557,0,,,
2014-2019,21580,"Española, NM",Total,Total,Percent Change in Median Earnings,0.022449,0,,,
2018-2019,21580,"Española, NM",Total,Total,Percent Change in Median Earnings,-0.113848,0,,,
2009-2019,21640,"Eufaula, AL-GA",Total,Total,Percent Change in Median Earnings,-0.001525,0,,,
2014-2019,21640,"Eufaula, AL-GA",Total,Total,Percent Change in Median Earnings,-0.029621,0,,,
2018-2019,21640,"Eufaula, AL-GA",Total,Total,Percent Change in Median Earnings,-0.030246,0,,,
2009-2019,21660,"Eugene-Springfield, OR",Total,Total,Percent Change in Median Earnings,0.228221,1,Midsized,12,9
2014-2019,21660,"Eugene-Springfield, OR",Total,Total,Percent Change in Median Earnings,0.181364,1,Midsized,25,16
2018-2019,21660,"Eugene-Springfield, OR",Total,Total,Percent Change in Median Earnings,0.091704,1,Midsized,23,16
2009-2019,21700,"Eureka-Arcata, CA",Total,Total,Percent Change in Median Earnings,0.311461,0,,,
2014-2019,21700,"Eureka-Arcata, CA",Total,Total,Percent Change in Median Earnings,0.404429,0,,,
2018-2019,21700,"Eureka-Arcata, CA",Total,Total,Percent Change in Median Earnings,0.12647,0,,,
2009-2019,21740,"Evanston, WY",Total,Total,Percent Change in Median Earnings,0.004264,0,,,
2014-2019,21740,"Evanston, WY",Total,Total,Percent Change in Median Earnings,0.129156,0,,,
2018-2019,21740,"Evanston, WY",Total,Total,Percent Change in Median Earnings,-0.019476,0,,,
2009-2019,21780,"Evansville, IN-KY",Total,Total,Percent Change in Median Earnings,0.065017,1,Midsized,126,55
2014-2019,21780,"Evansville, IN-KY",Total,Total,Percent Change in Median Earnings,0.024891,1,Midsized,177,71
2018-2019,21780,"Evansville, IN-KY",Total,Total,Percent Change in Median Earnings,-0.090385,1,Midsized,190,80
2009-2019,21820,"Fairbanks, AK",Total,Total,Percent Change in Median Earnings,-0.034829,0,,,
2014-2019,21820,"Fairbanks, AK",Total,Total,Percent Change in Median Earnings,-0.04122,0,,,
2018-2019,21820,"Fairbanks, AK",Total,Total,Percent Change in Median Earnings,-0.066968,0,,,
2009-2019,21840,"Fairfield, IA",Total,Total,Percent Change in Median Earnings,0.01547,0,,,
2014-2019,21840,"Fairfield, IA",Total,Total,Percent Change in Median Earnings,-0.059606,0,,,
2018-2019,21840,"Fairfield, IA",Total,Total,Percent Change in Median Earnings,-0.009603,0,,,
2009-2019,21860,"Fairmont, MN",Total,Total,Percent Change in Median Earnings,0.213113,0,,,
2014-2019,21860,"Fairmont, MN",Total,Total,Percent Change in Median Earnings,0.266806,0,,,
2018-2019,21860,"Fairmont, MN",Total,Total,Percent Change in Median Earnings,0.043105,0,,,
2009-2019,21900,"Fairmont, WV",Total,Total,Percent Change in Median Earnings,0.141667,0,,,
2014-2019,21900,"Fairmont, WV",Total,Total,Percent Change in Median Earnings,0.049542,0,,,
2018-2019,21900,"Fairmont, WV",Total,Total,Percent Change in Median Earnings,0.053035,0,,,
2009-2019,21980,"Fallon, NV",Total,Total,Percent Change in Median Earnings,0.162965,0,,,
2014-2019,21980,"Fallon, NV",Total,Total,Percent Change in Median Earnings,0.151824,0,,,
2018-2019,21980,"Fallon, NV",Total,Total,Percent Change in Median Earnings,-0.065041,0,,,
2009-2019,22020,"Fargo, ND-MN",Total,Total,Percent Change in Median Earnings,0.212297,0,,,
2014-2019,22020,"Fargo, ND-MN",Total,Total,Percent Change in Median Earnings,0.167923,0,,,
2018-2019,22020,"Fargo, ND-MN",Total,Total,Percent Change in Median Earnings,-0.013171,0,,,
2009-2019,22060,"Faribault-Northfield, MN",Total,Total,Percent Change in Median Earnings,0.088931,0,,,
2014-2019,22060,"Faribault-Northfield, MN",Total,Total,Percent Change in Median Earnings,0.124467,0,,,
2018-2019,22060,"Faribault-Northfield, MN",Total,Total,Percent Change in Median Earnings,0.029582,0,,,
2009-2019,22100,"Farmington, MO",Total,Total,Percent Change in Median Earnings,0.062747,0,,,
2014-2019,22100,"Farmington, MO",Total,Total,Percent Change in Median Earnings,0.094283,0,,,
2018-2019,22100,"Farmington, MO",Total,Total,Percent Change in Median Earnings,-0.013176,0,,,
2009-2019,22140,"Farmington, NM",Total,Total,Percent Change in Median Earnings,-0.166902,0,,,
2014-2019,22140,"Farmington, NM",Total,Total,Percent Change in Median Earnings,0.038508,0,,,
2018-2019,22140,"Farmington, NM",Total,Total,Percent Change in Median Earnings,-0.051388,0,,,
2009-2019,22180,"Fayetteville, NC",Total,Total,Percent Change in Median Earnings,-0.014538,1,Large,187,56
2014-2019,22180,"Fayetteville, NC",Total,Total,Percent Change in Median Earnings,-0.017235,1,Large,188,56
2018-2019,22180,"Fayetteville, NC",Total,Total,Percent Change in Median Earnings,-0.000159,1,Large,140,37
2009-2019,22220,"Fayetteville-Springdale-Rogers, AR",Total,Total,Percent Change in Median Earnings,0.084016,1,Large,96,27
2014-2019,22220,"Fayetteville-Springdale-Rogers, AR",Total,Total,Percent Change in Median Earnings,0.066486,1,Large,155,46
2018-2019,22220,"Fayetteville-Springdale-Rogers, AR",Total,Total,Percent Change in Median Earnings,-0.039548,1,Large,183,55
2009-2019,22260,"Fergus Falls, MN",Total,Total,Percent Change in Median Earnings,0.243164,0,,,
2014-2019,22260,"Fergus Falls, MN",Total,Total,Percent Change in Median Earnings,0.201643,0,,,
2018-2019,22260,"Fergus Falls, MN",Total,Total,Percent Change in Median Earnings,0.048387,0,,,
2009-2019,22280,"Fernley, NV",Total,Total,Percent Change in Median Earnings,0.027124,0,,,
2014-2019,22280,"Fernley, NV",Total,Total,Percent Change in Median Earnings,0.166831,0,,,
2018-2019,22280,"Fernley, NV",Total,Total,Percent Change in Median Earnings,-0.026329,0,,,
2009-2019,22300,"Findlay, OH",Total,Total,Percent Change in Median Earnings,0.31456,0,,,
2014-2019,22300,"Findlay, OH",Total,Total,Percent Change in Median Earnings,0.195158,0,,,
2018-2019,22300,"Findlay, OH",Total,Total,Percent Change in Median Earnings,0.073711,0,,,
2009-2019,22340,"Fitzgerald, GA",Total,Total,Percent Change in Median Earnings,0.058367,0,,,
2014-2019,22340,"Fitzgerald, GA",Total,Total,Percent Change in Median Earnings,0.108735,0,,,
2018-2019,22340,"Fitzgerald, GA",Total,Total,Percent Change in Median Earnings,-0.030847,0,,,
2009-2019,22380,"Flagstaff, AZ",Total,Total,Percent Change in Median Earnings,0.058565,0,,,
2014-2019,22380,"Flagstaff, AZ",Total,Total,Percent Change in Median Earnings,0.064848,0,,,
2018-2019,22380,"Flagstaff, AZ",Total,Total,Percent Change in Median Earnings,0.114123,0,,,
2009-2019,22420,"Flint, MI",Total,Total,Percent Change in Median Earnings,0.03668,1,Midsized,155,66
2014-2019,22420,"Flint, MI",Total,Total,Percent Change in Median Earnings,0.119188,1,Midsized,83,32
2018-2019,22420,"Flint, MI",Total,Total,Percent Change in Median Earnings,0.003524,1,Midsized,137,59
2009-2019,22500,"Florence, SC",Total,Total,Percent Change in Median Earnings,0.134689,0,,,
2014-2019,22500,"Florence, SC",Total,Total,Percent Change in Median Earnings,0.113902,0,,,
2018-2019,22500,"Florence, SC",Total,Total,Percent Change in Median Earnings,-0.002023,0,,,
2009-2019,22520,"Florence-Muscle Shoals, AL",Total,Total,Percent Change in Median Earnings,0.077782,0,,,
2014-2019,22520,"Florence-Muscle Shoals, AL",Total,Total,Percent Change in Median Earnings,0.116576,0,,,
2018-2019,22520,"Florence-Muscle Shoals, AL",Total,Total,Percent Change in Median Earnings,-0.014594,0,,,
2009-2019,22540,"Fond du Lac, WI",Total,Total,Percent Change in Median Earnings,0.275569,0,,,
2014-2019,22540,"Fond du Lac, WI",Total,Total,Percent Change in Median Earnings,0.157604,0,,,
2018-2019,22540,"Fond du Lac, WI",Total,Total,Percent Change in Median Earnings,0.112892,0,,,
2009-2019,22580,"Forest City, NC",Total,Total,Percent Change in Median Earnings,0.000447,0,,,
2014-2019,22580,"Forest City, NC",Total,Total,Percent Change in Median Earnings,0.078997,0,,,
2018-2019,22580,"Forest City, NC",Total,Total,Percent Change in Median Earnings,0.019668,0,,,
2009-2019,22620,"Forrest City, AR",Total,Total,Percent Change in Median Earnings,0.020195,0,,,
2014-2019,22620,"Forrest City, AR",Total,Total,Percent Change in Median Earnings,0.04657,0,,,
2018-2019,22620,"Forrest City, AR",Total,Total,Percent Change in Median Earnings,-0.145326,0,,,
2009-2019,22660,"Fort Collins, CO",Total,Total,Percent Change in Median Earnings,0.318866,1,Midsized,3,2
2014-2019,22660,"Fort Collins, CO",Total,Total,Percent Change in Median Earnings,0.279401,1,Midsized,3,2
2018-2019,22660,"Fort Collins, CO",Total,Total,Percent Change in Median Earnings,0.002468,1,Midsized,138,60
2009-2019,22700,"Fort Dodge, IA",Total,Total,Percent Change in Median Earnings,0.258891,0,,,
2014-2019,22700,"Fort Dodge, IA",Total,Total,Percent Change in Median Earnings,0.233072,0,,,
2018-2019,22700,"Fort Dodge, IA",Total,Total,Percent Change in Median Earnings,0.071731,0,,,
2009-2019,22780,"Fort Leonard Wood, MO",Total,Total,Percent Change in Median Earnings,-0.054795,0,,,
2014-2019,22780,"Fort Leonard Wood, MO",Total,Total,Percent Change in Median Earnings,0.202446,0,,,
2018-2019,22780,"Fort Leonard Wood, MO",Total,Total,Percent Change in Median Earnings,-0.005662,0,,,
2009-2019,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Percent Change in Median Earnings,0.112315,0,,,
2014-2019,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Percent Change in Median Earnings,0.071712,0,,,
2018-2019,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Percent Change in Median Earnings,-0.010241,0,,,
2009-2019,22820,"Fort Morgan, CO",Total,Total,Percent Change in Median Earnings,0.0717,0,,,
2014-2019,22820,"Fort Morgan, CO",Total,Total,Percent Change in Median Earnings,0.039469,0,,,
2018-2019,22820,"Fort Morgan, CO",Total,Total,Percent Change in Median Earnings,-0.018734,0,,,
2009-2019,22840,"Fort Payne, AL",Total,Total,Percent Change in Median Earnings,0.140349,0,,,
2014-2019,22840,"Fort Payne, AL",Total,Total,Percent Change in Median Earnings,0.181913,0,,,
2018-2019,22840,"Fort Payne, AL",Total,Total,Percent Change in Median Earnings,0.166676,0,,,
2009-2019,22860,"Fort Polk South, LA",Total,Total,Percent Change in Median Earnings,-0.005299,0,,,
2014-2019,22860,"Fort Polk South, LA",Total,Total,Percent Change in Median Earnings,0.099751,0,,,
2018-2019,22860,"Fort Polk South, LA",Total,Total,Percent Change in Median Earnings,0.047957,0,,,
2009-2019,22900,"Fort Smith, AR-OK",Total,Total,Percent Change in Median Earnings,0.05113,1,Midsized,140,63
2014-2019,22900,"Fort Smith, AR-OK",Total,Total,Percent Change in Median Earnings,-0.000025,1,Midsized,183,75
2018-2019,22900,"Fort Smith, AR-OK",Total,Total,Percent Change in Median Earnings,-0.024452,1,Midsized,178,73
2009-2019,23060,"Fort Wayne, IN",Total,Total,Percent Change in Median Earnings,0.052557,1,Midsized,135,59
2014-2019,23060,"Fort Wayne, IN",Total,Total,Percent Change in Median Earnings,0.069588,1,Midsized,150,57
2018-2019,23060,"Fort Wayne, IN",Total,Total,Percent Change in Median Earnings,0.08041,1,Midsized,32,22
2009-2019,23140,"Frankfort, IN",Total,Total,Percent Change in Median Earnings,0.506331,0,,,
2014-2019,23140,"Frankfort, IN",Total,Total,Percent Change in Median Earnings,0.087073,0,,,
2018-2019,23140,"Frankfort, IN",Total,Total,Percent Change in Median Earnings,0.137304,0,,,
2009-2019,23180,"Frankfort, KY",Total,Total,Percent Change in Median Earnings,0.163053,0,,,
2014-2019,23180,"Frankfort, KY",Total,Total,Percent Change in Median Earnings,0.175365,0,,,
2018-2019,23180,"Frankfort, KY",Total,Total,Percent Change in Median Earnings,0.067734,0,,,
2009-2019,23240,"Fredericksburg, TX",Total,Total,Percent Change in Median Earnings,0.157871,0,,,
2014-2019,23240,"Fredericksburg, TX",Total,Total,Percent Change in Median Earnings,0.177753,0,,,
2018-2019,23240,"Fredericksburg, TX",Total,Total,Percent Change in Median Earnings,-0.085794,0,,,
2009-2019,23300,"Freeport, IL",Total,Total,Percent Change in Median Earnings,0.117401,0,,,
2014-2019,23300,"Freeport, IL",Total,Total,Percent Change in Median Earnings,-0.058454,0,,,
2018-2019,23300,"Freeport, IL",Total,Total,Percent Change in Median Earnings,0.078132,0,,,
2009-2019,23340,"Fremont, NE",Total,Total,Percent Change in Median Earnings,0.035947,0,,,
2014-2019,23340,"Fremont, NE",Total,Total,Percent Change in Median Earnings,0.100108,0,,,
2018-2019,23340,"Fremont, NE",Total,Total,Percent Change in Median Earnings,-0.12998,0,,,
2009-2019,23380,"Fremont, OH",Total,Total,Percent Change in Median Earnings,0.097324,0,,,
2014-2019,23380,"Fremont, OH",Total,Total,Percent Change in Median Earnings,0.006925,0,,,
2018-2019,23380,"Fremont, OH",Total,Total,Percent Change in Median Earnings,-0.098285,0,,,
2009-2019,23420,"Fresno, CA",Total,Total,Percent Change in Median Earnings,0.17872,1,Large,28,6
2014-2019,23420,"Fresno, CA",Total,Total,Percent Change in Median Earnings,0.282294,1,Large,2,1
2018-2019,23420,"Fresno, CA",Total,Total,Percent Change in Median Earnings,0.051947,1,Large,53,11
2009-2019,23460,"Gadsden, AL",Total,Total,Percent Change in Median Earnings,-0.114933,0,,,
2014-2019,23460,"Gadsden, AL",Total,Total,Percent Change in Median Earnings,0.03357,0,,,
2018-2019,23460,"Gadsden, AL",Total,Total,Percent Change in Median Earnings,-0.095073,0,,,
2009-2019,23500,"Gaffney, SC",Total,Total,Percent Change in Median Earnings,0.109963,0,,,
2014-2019,23500,"Gaffney, SC",Total,Total,Percent Change in Median Earnings,0.094769,0,,,
2018-2019,23500,"Gaffney, SC",Total,Total,Percent Change in Median Earnings,0.101052,0,,,
2009-2019,23540,"Gainesville, FL",Total,Total,Percent Change in Median Earnings,0.302057,1,Midsized,5,4
2014-2019,23540,"Gainesville, FL",Total,Total,Percent Change in Median Earnings,0.075709,1,Midsized,139,50
2018-2019,23540,"Gainesville, FL",Total,Total,Percent Change in Median Earnings,0.018043,1,Midsized,107,50
2009-2019,23580,"Gainesville, GA",Total,Total,Percent Change in Median Earnings,-0.036506,0,,,
2014-2019,23580,"Gainesville, GA",Total,Total,Percent Change in Median Earnings,0.082867,0,,,
2018-2019,23580,"Gainesville, GA",Total,Total,Percent Change in Median Earnings,-0.060821,0,,,
2009-2019,23620,"Gainesville, TX",Total,Total,Percent Change in Median Earnings,0.042446,0,,,
2014-2019,23620,"Gainesville, TX",Total,Total,Percent Change in Median Earnings,0.040322,0,,,
2018-2019,23620,"Gainesville, TX",Total,Total,Percent Change in Median Earnings,-0.020787,0,,,
2009-2019,23660,"Galesburg, IL",Total,Total,Percent Change in Median Earnings,0.397944,0,,,
2014-2019,23660,"Galesburg, IL",Total,Total,Percent Change in Median Earnings,0.217938,0,,,
2018-2019,23660,"Galesburg, IL",Total,Total,Percent Change in Median Earnings,0.118998,0,,,
2009-2019,23700,"Gallup, NM",Total,Total,Percent Change in Median Earnings,0.002812,0,,,
2014-2019,23700,"Gallup, NM",Total,Total,Percent Change in Median Earnings,0.17667,0,,,
2018-2019,23700,"Gallup, NM",Total,Total,Percent Change in Median Earnings,-0.064161,0,,,
2009-2019,23780,"Garden City, KS",Total,Total,Percent Change in Median Earnings,0.154765,0,,,
2014-2019,23780,"Garden City, KS",Total,Total,Percent Change in Median Earnings,0.102703,0,,,
2018-2019,23780,"Garden City, KS",Total,Total,Percent Change in Median Earnings,0.099327,0,,,
2009-2019,23820,"Gardnerville Ranchos, NV",Total,Total,Percent Change in Median Earnings,0.02687,0,,,
2014-2019,23820,"Gardnerville Ranchos, NV",Total,Total,Percent Change in Median Earnings,0.166647,0,,,
2018-2019,23820,"Gardnerville Ranchos, NV",Total,Total,Percent Change in Median Earnings,-0.026405,0,,,
2009-2019,23860,"Georgetown, SC",Total,Total,Percent Change in Median Earnings,0.208361,0,,,
2014-2019,23860,"Georgetown, SC",Total,Total,Percent Change in Median Earnings,0.021832,0,,,
2018-2019,23860,"Georgetown, SC",Total,Total,Percent Change in Median Earnings,0.074445,0,,,
2009-2019,23900,"Gettysburg, PA",Total,Total,Percent Change in Median Earnings,0.02183,0,,,
2014-2019,23900,"Gettysburg, PA",Total,Total,Percent Change in Median Earnings,0.064124,0,,,
2018-2019,23900,"Gettysburg, PA",Total,Total,Percent Change in Median Earnings,-0.069519,0,,,
2009-2019,23940,"Gillette, WY",Total,Total,Percent Change in Median Earnings,0.098167,0,,,
2014-2019,23940,"Gillette, WY",Total,Total,Percent Change in Median Earnings,0.051883,0,,,
2018-2019,23940,"Gillette, WY",Total,Total,Percent Change in Median Earnings,0.003957,0,,,
2009-2019,23980,"Glasgow, KY",Total,Total,Percent Change in Median Earnings,0.130226,0,,,
2014-2019,23980,"Glasgow, KY",Total,Total,Percent Change in Median Earnings,0.089611,0,,,
2018-2019,23980,"Glasgow, KY",Total,Total,Percent Change in Median Earnings,-0.017716,0,,,
2009-2019,24020,"Glens Falls, NY",Total,Total,Percent Change in Median Earnings,0.165146,0,,,
