year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize
2012,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.650523365,0,
2013,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.664695382,0,
2014,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.667653799,0,
2015,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.696307838,0,
2016,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.682837605,0,
2017,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.714638948,0,
2018,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.724416256,0,
2019,32740,"Meadville, PA",Total,Total,Employment-to-Population Ratio,0.730391443,0,
2009,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.674627542,0,
2010,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.646809042,0,
2011,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.648232877,0,
2012,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.6529845,0,
2013,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.657286882,0,
2014,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.653464854,0,
2015,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.6506055,0,
2016,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.696829557,0,
2017,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.686958134,0,
2018,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.71382916,0,
2019,32780,"Medford, OR",Total,Total,Employment-to-Population Ratio,0.690369725,0,
2009,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.670801044,1,Very Large
2010,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.653903306,1,Very Large
2011,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.660912931,1,Very Large
2012,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.669991255,1,Very Large
2013,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.667848229,1,Very Large
2014,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.675360978,1,Very Large
2015,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.683539927,1,Very Large
2016,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.697644293,1,Very Large
2017,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.70012486,1,Very Large
2018,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.700473547,1,Very Large
2019,32820,"Memphis, TN-MS-AR",Total,Total,Employment-to-Population Ratio,0.712029994,1,Very Large
2009,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.76840055,0,
2010,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.7642349,0,
2011,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.748723507,0,
2012,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.774511933,0,
2013,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.762451947,0,
2014,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.776964009,0,
2015,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.792310178,0,
2016,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.801255107,0,
2017,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.811837018,0,
2018,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.828831971,0,
2019,32860,"Menomonie, WI",Total,Total,Employment-to-Population Ratio,0.83042413,0,
2009,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.614737988,1,Midsized
2010,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.603023291,1,Midsized
2011,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.584810972,1,Midsized
2012,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.591056228,1,Midsized
2013,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.554391325,1,Midsized
2014,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.598302662,1,Midsized
2015,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.598667562,1,Midsized
2016,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.59898752,1,Midsized
2017,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.61754775,1,Midsized
2018,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.663198173,1,Midsized
2019,32900,"Merced, CA",Total,Total,Employment-to-Population Ratio,0.65450412,1,Midsized
2009,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.657031596,0,
2010,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.571521103,0,
2011,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.629747927,0,
2012,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.637001038,0,
2013,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.594050646,0,
2014,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.620517313,0,
2015,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.644348025,0,
2016,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.621459901,0,
2017,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.614287615,0,
2018,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.638849676,0,
2019,32940,"Meridian, MS",Total,Total,Employment-to-Population Ratio,0.655648887,0,
2009,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.701640964,0,
2010,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.680399776,0,
2011,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.65792501,0,
2012,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.652539134,0,
2013,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.680450857,0,
2014,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.640933931,0,
2015,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.683475912,0,
2016,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.680165589,0,
2017,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.712656319,0,
2018,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.712690532,0,
2019,33020,"Mexico, MO",Total,Total,Employment-to-Population Ratio,0.703203738,0,
2009,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.671046257,0,
2010,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.640996873,0,
2011,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.674393535,0,
2012,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.626169741,0,
2013,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.666648507,0,
2014,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.614616156,0,
2015,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.633432209,0,
2016,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.658500791,0,
2017,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.662614346,0,
2018,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.643134654,0,
2019,33060,"Miami, OK",Total,Total,Employment-to-Population Ratio,0.680156589,0,
2009,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.6963256,1,Very Large
2010,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.676069498,1,Very Large
2011,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.679431677,1,Very Large
2012,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.691640675,1,Very Large
2013,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.69458729,1,Very Large
2014,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.709569216,1,Very Large
2015,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.716671526,1,Very Large
2016,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.72697103,1,Very Large
2017,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.724857807,1,Very Large
2018,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.742051184,1,Very Large
2019,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",Total,Total,Employment-to-Population Ratio,0.758192182,1,Very Large
2009,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.698616624,0,
2010,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.61443913,0,
2011,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.624499738,0,
2012,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.60806942,0,
2013,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.662631691,0,
2014,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.600264609,0,
2015,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.615731955,0,
2016,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.65595448,0,
2017,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.629711092,0,
2018,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.647400916,0,
2019,33140,"Michigan City-La Porte, IN",Total,Total,Employment-to-Population Ratio,0.681439042,0,
2009,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.489480615,0,
2010,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.452635139,0,
2011,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.441827953,0,
2012,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.487023622,0,
2013,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.466710448,0,
2014,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.505927861,0,
2015,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.480842441,0,
2016,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.429470122,0,
2017,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.505222797,0,
2018,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.490296155,0,
2019,33180,"Middlesborough, KY",Total,Total,Employment-to-Population Ratio,0.511050045,0,
2009,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.673870206,0,
2010,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.683276296,0,
2011,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.658629715,0,
2012,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.670467734,0,
2013,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.666736603,0,
2014,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.682993293,0,
2015,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.709034324,0,
2016,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.719914854,0,
2017,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.698717296,0,
2018,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.714901268,0,
2019,33220,"Midland, MI",Total,Total,Employment-to-Population Ratio,0.720433176,0,
2009,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.729687154,0,
2010,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.716234028,0,
2011,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.756444216,0,
2012,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.755528092,0,
2013,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.766006052,0,
2014,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.791706204,0,
2015,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.759538174,0,
2016,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.757800102,0,
2017,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.732486248,0,
2018,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.799425185,0,
2019,33260,"Midland, TX",Total,Total,Employment-to-Population Ratio,0.76723659,0,
2009,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.567686915,0,
2010,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.575370252,0,
2011,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.557917058,0,
2012,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.594618618,0,
2013,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.594448805,0,
2014,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.585233569,0,
2015,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.571008086,0,
2016,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.625361025,0,
2017,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.595577359,0,
2018,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.618789315,0,
2019,33300,"Milledgeville, GA",Total,Total,Employment-to-Population Ratio,0.639060616,0,
2009,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.731116951,1,Very Large
2010,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.724180937,1,Very Large
2011,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.715717733,1,Very Large
2012,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.730482221,1,Very Large
2013,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.737712443,1,Very Large
2014,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.74167186,1,Very Large
2015,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.765061438,1,Very Large
2016,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.766386032,1,Very Large
2017,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.758045137,1,Very Large
2018,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.775339425,1,Very Large
2019,33340,"Milwaukee-Waukesha, WI",Total,Total,Employment-to-Population Ratio,0.780150354,1,Very Large
2009,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.723886967,0,
2010,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.721599519,0,
2011,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.688686848,0,
2012,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.711109281,0,
2013,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.715501308,0,
2014,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.676378727,0,
2015,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.712005556,0,
2016,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.712955236,0,
2017,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.700087011,0,
2018,33380,"Minden, LA",Total,Total,Employment-to-Population Ratio,0.701283634,0,
2019,33380,"Minden, LA ",Total,Total,Employment-to-Population Ratio,0.711241841,0,
2009,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.578908086,0,
2010,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.573747456,0,
2011,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.54714191,0,
2012,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.694336951,0,
2013,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.651856482,0,
2014,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.669792473,0,
2015,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.699302435,0,
2016,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.658542514,0,
2017,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.667501807,0,
2018,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.687795937,0,
2019,33420,"Mineral Wells, TX",Total,Total,Employment-to-Population Ratio,0.698602676,0,
2009,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.770017684,1,Very Large
2010,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.766839683,1,Very Large
2011,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.772633255,1,Very Large
2012,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.782909334,1,Very Large
2013,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.787989438,1,Very Large
2014,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.792075217,1,Very Large
2015,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.803450882,1,Very Large
2016,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.810541332,1,Very Large
2017,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.816949487,1,Very Large
2018,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.815250814,1,Very Large
2019,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Total,Total,Employment-to-Population Ratio,0.820865273,1,Very Large
